City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
74,Caluquembe,AO,56.66,clear sky,-13.7833,14.6833,Hotel Kalukembe
75,Enkoping,SE,64.26,clear sky,59.6361,17.0777,Best Western Hotel Park Astoria
76,Morondava,MG,67.71,clear sky,-20.2833,44.2833,La Case Bambou
77,Wilmington,US,82.31,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
78,Caravelas,BR,70.7,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
79,Murupara,NZ,44.92,overcast clouds,-38.4667,176.7,Murupara Motor Camp
80,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
81,Lensk,RU,68.09,scattered clouds,60.7253,114.9278,ТинОрС
82,Wuwei,CN,69.87,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
83,Amboasary,MG,59.79,clear sky,-25.0333,46.3833,Le Bon Samaritain
84,Auki,SB,79.61,broken clouds,-8.7676,160.7034,Auki Motel
85,Berlevag,NO,75.2,few clouds,70.8578,29.0864,Kvitbrakka
86,Logon,PH,82.13,overcast clouds,11.3303,124.1146,Tepanee Beach Resort
87,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
89,Tasiilaq,GL,42.96,scattered clouds,65.6145,-37.6368,The Red House
90,Yellowknife,CA,68.56,broken clouds,62.456,-114.3525,The Explorer Hotel
91,Cherskiy,RU,40.64,light rain,68.75,161.3,Gostinitsa
92,Seoul,KR,74.8,mist,37.5683,126.9778,롯데호텔 서울
93,Mayya,RU,67.32,overcast clouds,61.7333,130.2811,
94,Faanui,PF,79.14,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,Kendari,ID,75.85,scattered clouds,-3.945,122.4989,Hotel Wixel
96,Yanliang,CN,78.44,clear sky,34.6592,109.2292,Pod Inn Xi'an Yanliang Renmin Road
97,Lavrentiya,RU,47.53,overcast clouds,65.5833,-171.0,
98,Isangel,VU,78.91,scattered clouds,-19.55,169.2667,Tanna Lodge
99,Provideniya,RU,50.32,overcast clouds,64.3833,-173.3,
100,Rimouski,CA,75.38,clear sky,48.4488,-68.524,Hôtel Rimouski
101,Sao Joao Do Piaui,BR,83.88,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
102,Honiara,SB,80.58,clear sky,-9.4333,159.95,Heritage Park Hotel
103,Krasnyy Kut,RU,55.35,overcast clouds,50.95,46.9667,Yubileynaya
104,Seymchan,RU,53.2,overcast clouds,62.8833,152.4333,
